Lote;Nome;06/03/2020(Tarde);07/03/2020(Manha);Total
4;Girafa;2;5.2;7.2
4;Baiana;1;3;4
4;Baroneza;3;6;9
4;Paraopeba;2;4.2;6.2
4;Tangirina;1.8;4.6;6.4
4;Manchinha;1.4;4.8;6.2
4;Mexirica;3.6;7;10.6
4;Torrada;3;5.4;8.4
4;Realeza;2;4.2;6.2
4;Conserva;1.4;2.4;3.8
4;Prainha;3.2;4.2;7.4
4;Bonita;3.6;8;11.6
4;Branquinha;4;8.6;12.6
4;Brazilandia;2;4.4;6.4
4;Gafiera;2;5;7
4;Xita;2;5.2;7.2
4;Vicosa;2.6;6.4;9
4;Pata;1.6;4.2;5.8
4;Florentina;3.2;8.4;11.6
4;Goteira;3.6;8;11.6
4;Candeia;4.2;7;11.2
4;Pirapora;1.6;3;4.6
4;Ribada;1.8;2.8;4.6
4;India;1.2;3;4.2
4;Morena;0.2;2;2.2
4;Matutina;1.6;3.2;4.8
4;Angulinha;2.2;5;7.2
4;Bolivia;2;4.8;6.8
4;Mantiqueira;1.4;3.4;4.8
4;Fulia;0.4;1.2;1.6
4;Chumbada;2;4;6
4;Mateira;2.4;5.2;7.6
4;Cabacinha;1.6;4;5.6
4;Bulacha;1.6;4.2;5.8
4;Macan;1.6;4.8;6.4
4;Codorninha;0;2.2;2.2
4;Uberaba;4;7.2;11.2
4;Gauchona;1.4;3.2;4.6
4;Regata;1.2;2.4;3.6
4;Bandeira;3.4;6;9.4
4;Japoneza;1;2.2;3.2
