Lote;Nome;Leite Manha;Leite Tarde;Total
2;Gravatinha;5;3.4;8.4
2;Jaguanesa;5.4;7.4;12.8
2;Lorinha;6;7.4;13.4
2;Cinderela;6;8.2;14.2
2;Meia Noite;8;9;17
2;Furtuna;7.2;6.4;13.6
2;Serra Azul;5.4;7.4;12.8
2;Piracicaba;5;6;11
2;Nabuca;4.6;5.6;10.2
2;Mistura;4.8;5;9.8
2;Clareza;5.8;6.4;12.2
2;Mariana;4.2;6.4;10.6
2;Princesa;7.4;9.6;17
2;Leitura;8;8;16
2;Cristalina;5;6.6;11.6
2;Cocada;6.4;8;14.4
2;Vingadora;6;5.2;11.2
2;Cana Brava;6;8;14
2;Chaleira;5.8;8;13.8
2;Carioca;5.4;7;12.4
2;Mantena;6;5.5;11.5
2;Escurinha;4.4;5;9.4
2;Bainha;4.2;5;9.2
2;Cabritinha;5.4;6.8;12.2
2;Gamela;6.4;9;15.4
2;Picuman;6.4;7.2;13.6
3;Angulinha;4;8;12
3;Caipira;5;9;14
3;Girafa;4.4;9;13.4
3;Monaliza;5;8;13
3;Jarrinha;6.2;9;15.2
3;Morada;6;5.4;11.4
3;Gafiera;5;9;14
3;Argentina;6.2;9;15.2
3;Faceira;5.2;8;13.2
3;Charmosa;6;10;16
3;Paraopeba;5;8.2;13.2
3;Erica;4.4;8;12.4
3;Pipoca;5;10;15
3;Rainha;4.8;7.5;12.3
3;Formiga;5.2;9.2;14.4
3;Matera;6;6;12
3;Vereda;4.2;6.4;10.6
3;Nobreza;3.8;6;9.8
3;Maripoza;6;10;16
3;Fazenda;5.4;9;14.4
3;Orquestra;2;6;8
3;Dama;4.4;7.2;11.6
3;Regata;4;6.2;10.2
3;Beleza;7;12;19
3;Zebrinha;6.4;9;15.4
3;Imprensa;5;9.4;14.4
3;Xita;4.2;7;11.2
3;Harpa;5;8;13
3;Delicada;5.4;8.6;14
3;Barra Grande;3;6;9
3;Mexirica;5;7.4;12.4
3;Sara;6.4;7;13.4
3;Cigana;4.8;7;11.8
3;Urucunha;3.6;6.4;10
3;Pampulha;6;10;16
3;Xupeta;5;8.4;13.4
3;Noiva;4.4;8;12.4
3;Fugueira;4.6;6.6;11.2
3;Cabacinha;3.8;6;9.8
3;Queimada;3.8;7;10.8
3;Peteca;4.2;8;12.2
3;Chatinha;4;6.2;10.2
3;Rosada;3.8;6.2;10
3;Torrada;8;8.2;16.2
3;Urania;4;8;12
3;Cacula;5.4;6.2;11.6
3;Prainha;3.6;8;11.6
3;Candeia;6;9.2;15.2
3;Gravura;5;7;12
3;Novela;4.8;7.4;12.2
3;Redonda;5.2;8.8;14
3;India;5.2;7;12.2
3;Gincana;2.6;4.2;6.8
3;Tampinha;4.6;8.8;13.4
3;Guarana;4.8;6;10.8
3;Pirunga;5;8;13
